Date,Avg Temperature (°C),Avg Humidity (%),Total Precipitation (mm)
2023-11-19,7.014285714285714,72.71428571428571,19.3
2023-11-26,5.128571428571428,82.42857142857143,56.7
2023-12-03,3.242857142857143,81.0,12.8
2023-12-10,1.2571428571428573,83.85714285714286,14.4
2023-12-17,3.6,81.71428571428571,32.9
2023-12-24,2.7142857142857144,70.28571428571429,2.8000000000000003
2023-12-31,5.171428571428572,67.42857142857143,0.0
2024-01-07,5.071428571428571,82.0,13.399999999999999
2024-01-14,-2.4428571428571426,67.85714285714286,10.8
2024-01-21,1.3,75.42857142857143,14.3
2024-01-28,-0.4857142857142856,72.0,1.5
2024-02-04,1.1285714285714286,61.285714285714285,0.9
2024-02-11,8.27142857142857,62.714285714285715,0.6
2024-02-18,4.914285714285714,75.0,11.2
2024-02-25,6.414285714285714,75.71428571428571,4.1
2024-03-03,8.4,79.14285714285714,9.0
2024-03-10,6.571428571428571,80.0,14.9
2024-03-17,7.785714285714286,76.42857142857143,13.0
2024-03-24,7.357142857142857,61.142857142857146,3.6
2024-03-31,11.557142857142859,63.42857142857143,14.9
2024-04-07,14.9,49.285714285714285,0.5
2024-04-14,16.185714285714287,49.714285714285715,0.1
2024-04-21,12.642857142857142,60.142857142857146,42.2
2024-04-28,11.385714285714286,70.57142857142857,17.3
2024-05-05,13.357142857142858,71.42857142857143,20.6
2024-05-12,14.714285714285714,68.42857142857143,5.7
2024-05-19,13.442857142857141,78.14285714285714,26.6
2024-05-26,16.228571428571428,74.42857142857143,20.0
2024-06-02,17.47142857142857,69.0,2.3000000000000003
2024-06-09,21.614285714285717,64.57142857142857,2.5
2024-06-16,22.328571428571426,58.857142857142854,7.0
2024-06-23,25.514285714285712,55.714285714285715,6.7
2024-06-30,23.642857142857142,58.714285714285715,17.3
2024-07-07,22.285714285714285,54.0,2.4
2024-07-14,27.457142857142856,39.42857142857143,0.0
2024-07-21,28.12857142857143,43.857142857142854,0.3
2024-07-28,24.042857142857144,53.57142857142857,3.3000000000000003
2024-08-04,24.542857142857144,41.0,0.1
2024-08-11,23.642857142857142,48.57142857142857,1.4
2024-08-18,27.24285714285714,43.142857142857146,1.0
2024-08-25,23.842857142857145,54.0,0.5
2024-09-01,22.042857142857144,57.714285714285715,7.3
2024-09-08,22.085714285714285,56.857142857142854,1.3
2024-09-15,16.97142857142857,71.14285714285714,17.1
2024-09-22,14.914285714285715,66.42857142857143,4.9
2024-09-29,18.17142857142857,60.142857142857146,4.5
2024-10-06,13.885714285714286,64.0,11.399999999999999
2024-10-13,14.642857142857142,68.28571428571429,18.2
2024-10-20,10.728571428571428,65.14285714285714,0.0
2024-10-27,10.87142857142857,61.0,0.0
2024-11-03,11.042857142857143,73.42857142857143,0.2
2024-11-10,4.8999999999999995,65.85714285714286,0.0
2024-11-17,2.814285714285714,85.0,15.8
2024-11-24,2.2285714285714286,70.85714285714286,19.700000000000003
2024-12-01,3.314285714285714,79.57142857142857,29.2
2024-12-08,3.0142857142857147,89.28571428571429,32.2
2024-12-15,3.242857142857143,81.14285714285714,13.8
2024-12-22,2.414285714285714,77.0,17.7
2024-12-29,0.4857142857142857,83.14285714285714,18.8
2025-01-05,0.7714285714285715,68.57142857142857,3.7
2025-01-12,2.6142857142857143,80.42857142857143,13.6
2025-01-19,-1.3714285714285714,77.28571428571429,1.9000000000000001
2025-01-26,3.0285714285714285,75.14285714285714,0.7999999999999999
2025-02-02,5.042857142857144,76.42857142857143,2.2
2025-02-09,-0.49999999999999994,69.71428571428571,0.2
2025-02-16,-0.11428571428571432,68.71428571428571,1.5
2025-02-23,-5.38,79.2,5.8
